id,ncbi_taxon_id,gbif_taxon_id,ncbi_canonical_name,gbif_canonical_name,gbif_synonyms_ids,gbif_synonyms_names,ncbi_synonyms_names
32,2584447,4644416,Hiplyra,Hiplyra,,,
33,3114379,4576313,Atlantophila,Atlantophila,,,
34,2584458,4644326,Soceulia,Soceulia,,,
35,2584454,4644347,Seulocia,Seulocia,,,
36,2559867,2221825,Merocryptus,Merocryptus,,,
37,3342112,4644408,Ihleus,Ihleus,,,
38,6801,2221778,Iliacantha,Iliacantha,,,
39,1565489,4382671,Coleusia,Coleusia,,,
40,1349632,2221766,Nucia,Nucia,,,
41,2858094,,Unclassified leucosiidae,,,,
42,,4644270,,Onychomorpha,,,
43,,11560868,,Alcolyra,,,
44,,4382629,,Toru,,,
45,,4644327,,Heterolithadia,,,
46,,9477182,,Ristoria,,,
47,,4644381,,Praosia,,,
48,,4644305,,Typilobus,,,
49,,4573821,,Afrophila,,,
50,,3254143,,Leucisca,4644361; 3254144,Leucocarcinus; Carcinaspis,
51,,4377360,,Ebaliopsis,,,
52,,4571628,,Cateios,,,
53,,4644370,,Gemmacarcinus,,,
54,,4644418,,Bellidilia,2221800,Dittosa,
55,,3254148,,Myrine,3254149,Myrene,
56,,4644415,,Merocryptoides,,,
57,,4377386,,Oreophorus,,,
58,,4644410,,Ixoides,,,
59,,4644348,,Orientotlos,,,
60,,4382616,,Atlantotlos,,,
61,,4576370,,Atlantolocia,,,
62,,8641157,,Coralliocryptus,,,
63,,4644391,,Phlyxia,,,
64,,4644377,,Nuciops,,,
65,,4575255,,Pterocarcinus,,,
66,,12260576,,Aquitainotlos,,,
67,,11200351,,Ovilyra,,,
68,,2221782,,Callidactylus,,,
69,,4377364,,Nursilia,,,
70,,4644350,,Lissomorpha,,,
71,,4644358,,Hepatinulus,4644359,Hepatulina,
72,,11171496,,Zannatoius,,,
73,,4382726,,Cryptocnemus,,,
74,,4644341,,Tlos,,,
75,,4644367,,Speloeophoroides,,,
76,,2221762,,Myropsis,,,
77,,9431676,,Nucilobus,,,
78,,4644304,,Palaeomyra,,,
79,,12216756,,Cabrillia,,,
80,,4644328,,Leucosilia,,,
81,,11165721,,Liusius,,,
82,,2221820,,Oreotlos,,,
83,,4644324,,Nobiliella,4644325,Nobiliela,
84,,6927289,,Duncanitrix,3254147,Duncania,
85,,3254146,,Favus,,,
86,,4644373,,Alox,,,
87,,4644368,,Ancylodactyla,,,
88,,8250544,,Kabutos,,,
89,,4644352,,Ampliura,,,
90,,2221764,,Uhlias,,,
91,,12248788,,Alainyra,,,
92,,4644322,,Dolos,,,
93,,9792782,,Neparilia,,,
94,1816521,5969169,Ryphila cancellus,Ryphila cancellus,5969021; 5969020; 5968911,Cancer cancellus; Philyra cancella; Pseudophilyra burmensis,Cancer cancellus
95,,8682323,,Ryphila bertrandi,,,
96,,5969167,,Ryphila verrucosa,5969168,Philyra verrucosa,
97,1582881,4382641,Ebalia cranchii,Ebalia cranchii,4382642,Ebalia chiragra,
98,2951280,4382634,Ebalia edwardsii,Ebalia edwardsii,11946291; 5969087; 5969088; 4382636,Ebalia brayerii; Ebalia algirica; Ebalia ambigua; Ebalia bryerii,Ebalia ambigua; Ebalia algirica; Ebalia bryerii
99,1131617,2221797,Ebalia nux,Ebalia nux,10931836,Ebalia nux,
100,580080,2221799,Ebalia tuberculosa,Ebalia tuberculosa,4644365; 4382638; 4644362; 5969071; 4644396; 4644388; 4644379,Nursia postulans; Ebalia scandens; Nursia scandens; Ebalia postulans; Phlyxia granulosa; Ebalia japonica; Persephona tuberculosa,
101,2268640,4382651,Ebalia granulosa,Ebalia granulosa,12154534; 12098368,Ebalia costae; Ebalia spec,
102,1732101,2221793,Ebalia tuberosa,Ebalia tuberosa,8987153; 4382654; 6283157; 6283156; 4382652; 12125197; 11028084; 4382653,Ebalia elegans; Ebalia chavesi; Cancer tuberosa; Ebalia madeirensis; Ebalia pennantii; Ebalia maderensis; Ebalia spec; Ebalia insignis,
103,1732102,,Ebalia tumefacta,,,,
104,1676467,,Ebalia cariosa,,,,
105,2644593,,Unclassified ebalia,,,,
106,,5969108,,Ebalia dimorphoides,,,
107,,5969076,,Ebalia longispinosa,,,
108,,2221795,,Ebalia hancocki,,,
109,,2221792,,Ebalia stimpsonii,,,
110,,5969106,,Ebalia sculpta,,,
111,,4382637,,Ebalia affinis,10979101,Ebalia atlantica,
112,,5969093,,Ebalia nudipes,,,
113,,5969105,,Ebalia conifera,,,
114,,8440063,,Ebalia vanstraeleni,,,
115,,5969067,,Ebalia punctulata,,,
116,,8591844,,Ebalia vahldieki,,,
117,,5969077,,Ebalia cryptocnemoides,,,
118,,8642643,,Ebalia jacqueshermani,,,
119,,5969078,,Ebalia spinosa,,,
120,,5969096,,Ebalia woodmasoni,,,
121,,4644384,,Ebalia spinifera,12023916,Ebalia quadridentata spinifera,
122,,7581137,,Ebalia webberi,,,
123,,5969080,,Ebalia heterochalaza,,,
124,,5969073,,Ebalia braminae,,,
125,,4644386,,Ebalia longimana,5969110,Ebalia gotoensis,
126,,5969111,,Ebalia clarionensis,,,
127,,5969109,,Ebalia tosaensis,,,
128,,4382649,,Ebalia lacertosa,,,
129,,5969079,,Ebalia philippinensis,,,
130,,5969083,,Ebalia cristata,5969084,Nursia tuberculata,
131,,4382656,,Ebalia pondoensis,,,
132,,5969107,,Ebalia nana,,,
133,,4382633,,Ebalia agglomus,,,
134,,5969068,,Ebalia sakaii,,,
135,,4382648,,Ebalia orientalis,,,
136,,5969081,,Ebalia bituberculata,,,
137,,4382643,,Ebalia discrepans,,,
138,,5969070,,Ebalia stellaris,,,
139,,8484946,,Ebalia kakegawaensis,,,
140,,5969092,,Ebalia serenei,,,
141,,4382640,,Ebalia nobilii,,,
142,,4382650,,Ebalia deshayesi,5969098; 5969097; 4382635,Ebalia setubalensis; Ebalia edwardsi; Ebalia aspera,
143,,5969069,,Ebalia magdalenensis,,,
144,,8556548,,Ebalia hungarica,,,
145,,5969112,,Ebalia scabriuscula,,,
146,,5969086,,Ebalia yokoyai,,,
147,,4382644,,Ebalia fragifera,,,
148,,5969072,,Ebalia humilis,,,
149,,8586734,,Ebalia lamarmorai,,,
150,,9141102,,Ebalia takedai,,,
151,,5969113,,Ebalia maldivensis,,,
152,,8605927,,Ebalia noetlingi,,,
153,,5969103,,Ebalia laevis,5969104,Phlyxia laevis,
154,,4644399,,Ebalia brevimana,,,
155,,4644385,,Ebalia intermedia,,,
156,,5969089,,Ebalia hayamaensis,,,
157,,4644400,,Ebalia dentifrons,,,
158,,2221794,,Ebalia jordani,,,
159,,8752973,,Ebalia koyo,,,
160,,4382657,,Ebalia abdominalis,,,
161,,5969065,,Ebalia diadumena,,,
162,,8480270,,Ebalia oersi,,,
163,,4382639,,Ebalia salamensis,,,
164,,4382646,,Ebalia glomus,,,
165,,4644401,,Ebalia quadridentata,11296855,Ebalia 4-dentata,
166,,4644383,,Ebalia ramsayi,10910801; 4644398,Phlyxia spec; Phlyxia ramsayi,
167,,5969094,,Ebalia glans,5969095,Randallia glans,
168,,5969074,,Ebalia rotundata,5969075,Lithadia rotundata,
169,,4644390,,Ebalia quadrata,4644392,Phlyxia quadrata,
170,3114006,5731451,Ilia spinosa,Ilia spinosa,,,
171,2951303,5731452,Ilia nucleus,Ilia nucleus,6283153; 9624026; 6283154; 9582157; 10172768; 7194532; 6283150; 6283151; 6283152,Ilia laevigata; Ilia nucleus leachi; Cancer nucleus; ? leachi; Ilia levigata; Ilia leachi; Ilia rugulosa; Ilia parvicauda; Leucosia leachii,Ilia parvicauda; Ilia rugulosa; Cancer nucleus; Ilia leachi; Ilia laevigata; Leucosia leachii
172,2559886,5968908,Pseudophilyra intermedia,Pseudophilyra intermedia,,,
173,,4382613,,Pseudophilyra melita,,,
174,,12212294,,Pseudophilyra pirum,,,
175,,8484396,,Pseudophilyra granulimarginata,,,
176,,5968914,,Pseudophilyra albimaculata,,,
177,,11587205,,Pseudophilyra blanfordi,5968907,Pseudophilyra blandfordi,
178,,4382611,,Pseudophilyra polita,,,
179,,4382612,,Pseudophilyra punctulata,,,
180,,10581794,,Pseudophilyra parilis,,,
181,,5968913,,Pseudophilyra pusilla,,,
182,,5968912,,Pseudophilyra nanshaensis,,,
183,,4382614,,Pseudophilyra tridentata,5968906,Pseudophilyra dinops,
184,,5968910,,Pseudophilyra woodmasoni,,,
185,,4644268,,Pseudophilyra tenuipes,,,
186,,4644269,,Pseudophilyra perryi,5799014,Leucosia perryi,
187,2584444,5969044,Euclosiana crosnieri,Euclosiana crosnieri,5969045; 5969046,Euclosia crosnieri; Leucosia crosnieri,
188,2584446,5969047,Euclosiana unidentata,Euclosiana unidentata,5969048,Euclosia unidentata,
189,2850219,5969061,Euclosiana exquisita,Euclosiana exquisita,5969062,Euclosia exquisita,Euclosia exquisita
190,2584445,5969040,Euclosiana scitula,Euclosiana scitula,5969041,Euclosia scitula,
191,,5969052,,Euclosiana guinotae,,,
192,,5969042,,Euclosiana nitida,5969043,Euclosia nitida,
193,,5969057,,Euclosiana obtusifrons,5969060; 5969059; 5969058,Leucosia mimasensis; Leucosia obtusifrons; Euclosia obtusifrons,
194,,5969055,,Euclosiana tornatilia,5969056,Euclosia tornatilia,
195,,5969049,,Euclosiana rotundifrons,5969051,Leucosia rotundifrons,
196,,5969053,,Euclosiana concinna,5969054,Euclosia concinna,
197,,5969038,,Euclosiana vella,5969039,Euclosia vella,
198,2584464,4382668,Urnalana parahaematostica,Urnalana parahaematostica,,,
199,2584462,8852944,Urnalana erythema,Urnalana erythema,,,
200,2584463,8765522,Urnalana hirsuta,Urnalana hirsuta,,,
201,2584465,5969146,Urnalana purarensis,Urnalana purarensis,5969147,Leucosia purarensis,
202,,4382665,,Urnalana elatula,,,
203,,5969157,,Urnalana cumingii,5799034; 5969158; 7478551,Leucosia galantua; Leucosia cumingii; Leucosia cumingii,
204,,4382662,,Urnalana granulimera,,,
205,,5969150,,Urnalana cristata,,,
206,,8598805,,Urnalana flammea,,,
207,,5969155,,Urnalana thysanotus,5799024,Leucosia thysanotus,
208,,4382663,,Urnalana elata,5969148; 5731455; 5969149,Leucosia bikiniensis; Leucosia elata; Leucosia sagamiensis,
209,,9202927,,Urnalana chevertii,10965128; 5799029,Leucosia spec; Leucosia chevertii,
210,,5969161,,Urnalana pulchella,5969164; 5969162; 5969163; 5969165,Leucosia alcocki; Leucosia pulchella; Leucosia pseudomargaritata; Leucosia parapulchella,
211,,5969153,,Urnalana minuta,5969154,Leucosia minuta,
212,,5969142,,Urnalana foresti,5969143,Leucosia foresti,
213,,4382666,,Urnalana hilaris,5731456,Leucosia hilaris,
214,,4382669,,Urnalana elatoides,5731457,Leucosia elatoides,
215,,5969156,,Urnalana angulata,5731466; 4644287,Leucosia angulata; Leucosides angulata,
216,,5969144,,Urnalana margaritata,5969145; 5799031,Leucosia biminentis; Leucosia margaritata,
217,,5969159,,Urnalana insularis,5969160,Leucosia insularis,
218,,5969151,,Urnalana haematosticta,5799012; 9000692; 5969152,Leucosia haematosticta; Leucosia haematosticta; Leucosia hoematosticta,
219,,5969166,,Urnalana whitei,5799020,Leucosia whitei,
220,3388628,8336270,Galilia petricola,Galilia petricola,,,
221,,5969181,,Galilia narusei,,,
222,3410249,,Unclassified bellayra,,,,
223,,11840400,,Bellayra persicum,,,
224,,12014107,,Bellayra sexangula,5969023,Philyra sexangula,
225,,12141840,,Bellayra nishihirai,5968992,Philyra nishihirai,
226,,12028651,,Bellayra taekoae,5969000,Philyra taekoae,
227,373424,5969008,Philyra syndactyla,Philyra syndactyla,,,
228,2486893,5969015,Philyra kanekoi,Philyra kanekoi,5969016,Philyra nipponensis,
229,3420629,5969010,Philyra globus,Philyra globus,5969011; 5969014; 5969013; 5969012; 5731475,Cancer globosus; Leucosia globulosa; Cancer globus; Philyra polita; Philyra globulosa,
230,2584441,5968989,Philyra malefactrix,Philyra malefactrix,5968991; 5968990,Ebalia malefactrix; Philyra minuta,
231,,5968993,,Philyra adamsii,,,
232,,8703124,,Philyra alveola,,,
233,,5969003,,Philyra misagoana,,,
234,,5969001,,Philyra granulosa,11099168,Philyra scabriuscula granulosa,
235,,5799039,,Philyra angularis,,,
236,,5731480,,Philyra granigera,,,
237,,5799038,,Philyra orbicularis,5799026,Leucosia orbicularis,
238,,8670223,,Philyra trusanensis,,,
239,,5968999,,Philyra corallicola,,,
240,,8538659,,Philyra miyamotoi,,,
241,,5968987,,Philyra iriomotensis,,,
242,,5969007,,Philyra concinnus,,,
243,,7668680,,Philyra samia,,,
244,,5968986,,Philyra unidentata,,,
245,,8579608,,Philyra plana,,,
246,,8491582,,Philyra hayasakai,,,
247,,5969009,,Philyra zhoushanensis,,,
248,,5731472,,Philyra bicornis,,,
249,,8661858,,Philyra collinsi,8618522,Philyra granulosa,
250,,8568659,,Philyra tridentata,,,
251,,5969017,,Philyra marginata,,,
252,,8501933,,Philyra tanakai,,,
253,,5969002,,Philyra macrophthalma,,,
254,,8531114,,Philyra nishimotoi,,,
255,,5731477,,Philyra rectangularis,,,
256,,5969019,,Philyra rudis,,,
257,,5968994,,Philyra porcellanea,5968995; 12060646,Cancer porcellanea; Philyra porcellana,
258,,5731478,,Philyra scabriuscula,5968988; 5799033,Leucosia scabriuscula; Leucosia scabriuscula,
259,,5968997,,Philyra scabra,,,
260,,5969005,,Philyra sagittifera,5969006; 12315541,Ebalia sagittifera; Tirmilyra sagittifera,
261,,8629847,,Philyra shihcheni,,,
262,3069668,2221786,Randallia bulligera,Randallia bulligera,,,
263,,5968916,,Randallia minuta,,,
264,,8502487,,Randallia saitoensis,,,
265,,8568071,,Randallia jingomao,,,
266,,5968921,,Randallia curacaoensis,,,
267,,8702461,,Randallia pleistocenica,,,
268,,5968919,,Randallia laevis,5968920,Persephona laevis,
269,,2221787,,Randallia ornata,8988515; 5968923,Randallia angelica; Ilia ornata,
270,1676465,2221816,Lithadia cadaverosa,Lithadia cadaverosa,,,
271,2036712,5968793,Lithadia brasiliensis,Lithadia brasiliensis,5968794,Ebalia brasiliensis,
272,,5968795,,Lithadia cumingii,,,
273,,2221815,,Lithadia granulosa,,,
274,,5968799,,Lithadia conica,5968800,Ebalia conica,
275,,5968797,,Lithadia vertiginosa,5968798,Ebalia vertiginosa,
276,,5968791,,Lithadia obliqua,5968792,Ebalia obliqua,
277,1384671,5969236,Lyphira perplexa,Lyphira perplexa,,,
278,2584440,5969232,Lyphira heterograna,Lyphira heterograna,5969234; 10901457,Philyra acutidens; Philyra peitaihoensis,
279,,8940940,,Lyphira georgei,,,
280,,5969237,,Lyphira natalensis,,,
281,,5969231,,Lyphira ovata,,,
282,516934,5863743,Tokoyo eburnea,Tokoyo eburnea,4382682; 5968976,Tokoyo trilobata; Randallia japonica,Randallia eburnea
283,,4382681,,Tokoyo cirrata,,,
284,1240052,2221818,Acanthilia intermedia,Acanthilia intermedia,2221819,Iliacantha intermedia,Iliacantha intermedia
